Date;Transmitter;Window;
;;Maximum [h];Effective [h]
2016-08-20;DHO 23.4;12;12
2016-08-20;GBZ 19.6;12;12
2016-08-20;GQD 22.1;12;12
2016-08-20;HWU 21.8;12;12
2016-08-20;ICV 20.3;12;12
2016-08-19;DHO 23.4;12;12
2016-08-19;GBZ 19.6;12;12
2016-08-19;GQD 22.1;12;12
2016-08-19;HWU 21.8;12;12
2016-08-19;ICV 20.3;12;12
2016-08-18;DHO 23.4;12;12
2016-08-18;GBZ 19.6;12;12
2016-08-18;GQD 22.1;12;12
2016-08-18;HWU 21.8;12;12
2016-08-18;ICV 20.3;12;12
2016-08-17;DHO 23.4;12;12
2016-08-17;GBZ 19.6;12;12
2016-08-17;GQD 22.1;12;12
2016-08-17;HWU 21.8;12;12
2016-08-17;ICV 20.3;12;12
2016-08-16;DHO 23.4;12;12
2016-08-16;GBZ 19.6;12;12
2016-08-16;GQD 22.1;12;12
2016-08-16;HWU 21.8;12;12
2016-08-16;ICV 20.3;12;12
2016-08-15;DHO 23.4;12;12
2016-08-15;GBZ 19.6;12;12
2016-08-15;GQD 22.1;12;12
2016-08-15;HWU 21.8;12;12
2016-08-15;ICV 20.3;12;12
2016-08-14;DHO 23.4;12;12
2016-08-14;GBZ 19.6;12;12
2016-08-14;GQD 22.1;12;12
2016-08-14;HWU 21.8;12;12
2016-08-14;ICV 20.3;12;12
2016-08-13;DHO 23.4;12;12
2016-08-13;GBZ 19.6;12;12
2016-08-13;GQD 22.1;12;12
2016-08-13;HWU 21.8;12;12
2016-08-13;ICV 20.3;12;12
2016-08-12;DHO 23.4;12;12
2016-08-12;GBZ 19.6;12;12
2016-08-12;GQD 22.1;12;12
2016-08-12;HWU 21.8;12;12
2016-08-12;ICV 20.3;12;12
2016-08-11;DHO 23.4;12;12
2016-08-11;GBZ 19.6;12;12
2016-08-11;GQD 22.1;12;12
2016-08-11;HWU 21.8;12;12
2016-08-11;ICV 20.3;12;12
2016-08-10;DHO 23.4;12;12
2016-08-10;GBZ 19.6;12;12
2016-08-10;GQD 22.1;12;12
2016-08-10;HWU 21.8;12;12
2016-08-10;ICV 20.3;12;12
2016-08-09;DHO 23.4;12;12
2016-08-09;GBZ 19.6;12;12
2016-08-09;GQD 22.1;12;12
2016-08-09;HWU 21.8;12;12
2016-08-09;ICV 20.3;12;12
2016-08-08;DHO 23.4;12;12
2016-08-08;GBZ 19.6;12;12
2016-08-08;GQD 22.1;12;12
2016-08-08;HWU 21.8;12;12
2016-08-08;ICV 20.3;12;12
2016-08-07;DHO 23.4;12;12
2016-08-07;GBZ 19.6;12;12
2016-08-07;GQD 22.1;12;12
2016-08-07;HWU 21.8;12;12
2016-08-07;ICV 20.3;12;12
2016-08-06;DHO 23.4;12;12
2016-08-06;GBZ 19.6;12;12
2016-08-06;GQD 22.1;12;12
2016-08-06;HWU 21.8;12;12
2016-08-06;ICV 20.3;12;12
2016-08-05;DHO 23.4;12;12
2016-08-05;GBZ 19.6;12;12
2016-08-05;GQD 22.1;12;12
2016-08-05;HWU 21.8;12;12
2016-08-05;ICV 20.3;12;12
2016-08-04;DHO 23.4;12;12
2016-08-04;GBZ 19.6;12;12
2016-08-04;GQD 22.1;12;12
2016-08-04;HWU 21.8;12;12
2016-08-04;ICV 20.3;12;12
2016-08-03;DHO 23.4;12;12
2016-08-03;GBZ 19.6;12;12
2016-08-03;GQD 22.1;12;12
2016-08-03;HWU 21.8;12;12
2016-08-03;ICV 20.3;12;12
2016-08-02;DHO 23.4;12;12
2016-08-02;GBZ 19.6;12;12
2016-08-02;GQD 22.1;12;12
2016-08-02;HWU 21.8;12;12
2016-08-02;ICV 20.3;12;12
2016-08-01;DHO 23.4;12;12
2016-08-01;GBZ 19.6;12;12
2016-08-01;GQD 22.1;12;12
2016-08-01;HWU 21.8;12;12
2016-08-01;ICV 20.3;12;12
2016-07-31;DHO 23.4;12;12
2016-07-31;GBZ 19.6;12;12
2016-07-31;GQD 22.1;12;12
2016-07-31;HWU 21.8;12;12
2016-07-31;ICV 20.3;12;12
2016-07-30;DHO 23.4;12;12
2016-07-30;GBZ 19.6;12;12
2016-07-30;GQD 22.1;12;12
2016-07-30;HWU 21.8;12;12
2016-07-30;ICV 20.3;12;12
2016-07-29;DHO 23.4;12;12
2016-07-29;GBZ 19.6;12;12
2016-07-29;GQD 22.1;12;12
2016-07-29;HWU 21.8;12;12
2016-07-29;ICV 20.3;12;12
2016-07-28;DHO 23.4;12;12
2016-07-28;GBZ 19.6;12;12
2016-07-28;GQD 22.1;12;12
2016-07-28;HWU 21.8;12;12
2016-07-28;ICV 20.3;12;12
2016-07-27;DHO 23.4;12;12
2016-07-27;GBZ 19.6;12;12
2016-07-27;GQD 22.1;12;12
2016-07-27;HWU 21.8;12;12
2016-07-27;ICV 20.3;12;12
2016-07-26;DHO 23.4;12;12
2016-07-26;GBZ 19.6;12;12
2016-07-26;GQD 22.1;12;12
2016-07-26;HWU 21.8;12;12
2016-07-26;ICV 20.3;12;12
2016-07-25;DHO 23.4;12;12
2016-07-25;GBZ 19.6;12;12
2016-07-25;GQD 22.1;12;12
2016-07-25;HWU 21.8;12;12
2016-07-25;ICV 20.3;12;12
2016-07-24;DHO 23.4;12;12
2016-07-24;GBZ 19.6;12;12
2016-07-24;GQD 22.1;12;12
2016-07-24;HWU 21.8;12;12
2016-07-24;ICV 20.3;12;12
2016-07-23;DHO 23.4;12;12
2016-07-23;GBZ 19.6;12;12
2016-07-23;GQD 22.1;12;12
2016-07-23;HWU 21.8;12;12
2016-07-23;ICV 20.3;12;12
2016-07-22;DHO 23.4;12;12
2016-07-22;GBZ 19.6;12;12
2016-07-22;GQD 22.1;12;12
2016-07-22;HWU 21.8;12;12
2016-07-22;ICV 20.3;12;12
2016-07-21;DHO 23.4;12;12
2016-07-21;GBZ 19.6;12;12
2016-07-21;GQD 22.1;12;12
2016-07-21;HWU 21.8;12;12
2016-07-21;ICV 20.3;12;12
