Date;Begin;;Maximum;;End;;Duration;Definition;Transmitter
;Time [UT];Qualifier;Time [UT];Qualifier;Time [UT];Qualifier;;;
2016-08-19;9:48;;10:06;;10:43;;55m;5;DHO 23.4
2016-08-19;9:00;;9:15;;9:29;;29m;4;DHO 23.4
2016-08-09;8:53;;8:57;;9:19;;26m;5;GQD 22.1
2016-08-08;10:39;;10:48;;11:31;;52m;5;DHO 23.4
2016-08-08;9:13;;9:23;;9:54;;41m;5;DHO 23.4
2016-08-08;8:40;;8:57;;9:13;D;33m;5;DHO 23.4
2016-08-08;10:39;;10:48;;11:31;;52m;5;GQD 22.1
2016-08-08;9:13;;9:23;;9:54;;41m;5;GQD 22.1
2016-08-08;8:40;;8:57;;9:13;D;33m;5;GQD 22.1
2016-08-07;15:02;;15:12;;15:58;;56m;5;DHO 23.4
2016-08-07;14:38;;14:46;;15:02;D;24m;5;DHO 23.4
2016-08-07;13:33;;13:41;;14:13;;40m;5;DHO 23.4
2016-08-07;10:22;;10:26;;10:50;;28m;4;DHO 23.4
2016-08-07;15:02;;15:12;;15:58;;56m;5;GQD 22.1
2016-08-07;14:38;;14:46;;15:02;D;24m;5;GQD 22.1
2016-08-07;13:33;;13:41;;14:13;;40m;5;GQD 22.1
2016-08-07;10:22;;10:26;;10:50;;28m;4;GQD 22.1
2016-08-05;10:10;;10:17;;10:40;;30m;4;GQD 22.1
2016-08-04;16:59;;17:06;;17:58;;59m;5;DHO 23.4
2016-07-25;9:02;;9:09;;9:40;D;38m;5;DHO 23.4
2016-07-25;10:12;;10:35;;11:16;;1h 4m;3;GQD 22.1
2016-07-25;9:40;;9:45;;9:59;;19m;3;GQD 22.1
2016-07-25;9:02;;9:09;;9:40;D;38m;5;GQD 22.1
2016-07-24;13:52;;14:04;;14:46;;54m;5;DHO 23.4
2016-07-24;13:35;;13:43;;13:52;D;17m;3;DHO 23.4
2016-07-24;13:18;;13:24;;13:35;;17m;3;DHO 23.4
2016-07-24;12:55;;13:02;;13:18;D;23m;3;DHO 23.4
2016-07-24;12:21;;12:32;;12:55;D;34m;3;DHO 23.4
2016-07-24;11:52;;12:03;;12:21;D;29m;3;DHO 23.4
2016-07-24;6:12;;6:21;;7:42;;1h 30m;5;DHO 23.4
2016-07-24;17:33;;17:44;;18:30;;57m;4;GQD 22.1
2016-07-24;16:32;;16:49;;16:56;;24m;3;GQD 22.1
2016-07-24;15:20;;15:33;;16:06;;46m;3;GQD 22.1
2016-07-24;14:58;;15:02;;15:20;D;22m;3;GQD 22.1
2016-07-24;13:52;;14:04;;14:46;;54m;5;GQD 22.1
2016-07-24;13:35;;13:43;;13:52;D;17m;3;GQD 22.1
2016-07-24;13:18;;13:24;;13:35;;17m;3;GQD 22.1
2016-07-24;12:55;;13:02;;13:18;D;23m;3;GQD 22.1
2016-07-24;12:21;;12:32;;12:55;D;34m;3;GQD 22.1
2016-07-24;11:52;;12:03;;12:21;D;29m;3;GQD 22.1
2016-07-24;6:12;;6:21;;7:42;;1h 30m;5;GQD 22.1
2016-07-24;17:33;;17:44;;18:30;;57m;4;ICV 20.3
2016-07-24;13:52;;14:04;;14:46;;54m;5;ICV 20.3
2016-07-24;13:35;;13:43;;13:52;D;17m;3;ICV 20.3
2016-07-24;13:18;;13:24;;13:35;;17m;3;ICV 20.3
2016-07-24;12:55;;13:02;;13:18;D;23m;3;ICV 20.3
2016-07-24;12:21;;12:32;;12:55;D;34m;3;ICV 20.3
2016-07-24;11:52;;12:03;;12:21;D;29m;3;ICV 20.3
2016-07-24;6:12;;6:21;;7:42;;1h 30m;5;ICV 20.3
2016-07-23;5:09;;5:20;;7:01;;1h 52m;5;DHO 23.4
2016-07-23;5:09;;5:20;;7:01;;1h 52m;5;GQD 22.1
2016-07-23;5:09;;5:20;;7:01;;1h 52m;5;ICV 20.3
2016-07-22;6:46;;6:52;;8:07;;1h 21m;5;DHO 23.4
2016-07-22;8:40;;8:51;;9:32;;52m;5;GQD 22.1
2016-07-22;6:46;;6:52;;8:07;;1h 21m;5;GQD 22.1
2016-07-22;8:40;;8:51;;9:32;;52m;5;ICV 20.3
2016-07-22;6:46;;6:52;;8:07;;1h 21m;5;ICV 20.3
2016-07-21;12:49;;12:57;;14:28;;1h 39m;5;DHO 23.4
2016-07-21;11:19;;11:20;;12:15;;56m;5;DHO 23.4
2016-07-21;12:49;;12:57;;14:28;;1h 39m;5;GQD 22.1
2016-07-21;11:19;;11:20;;12:15;;56m;5;GQD 22.1
2016-07-18;8:14;;8:25;;9:21;;1h 7m;5;DHO 23.4
2016-07-18;8:14;;8:25;;9:21;;1h 7m;5;GQD 22.1
